Properties,Details
Rocket Name,Soyuz FG
Dry Mass,312000 kg
Operator,Progress Rocket Space Center
Payload  to LEO,8200 kg
Fuel Type,Kerosene and Hypergolic
Height,46.3m
Price Per Launch ($),80M
Propellant Mass,255510 kg
