Properties,Details
Rocket Name,Ariane 5
Dry Mass,12000 kg
Operator,European Space Agency
Payload  to LEO,20000 kg
Fuel Type,"Solid, Hypergolic and Cryogenic"
Height,46 - 52m
Price Per Launch ($),149 - 198M
Propellant Mass,764900 kg
