,constellation,total_emissions_t,emission_per_capacity,emission_per_sqkm,emission_for_every_cost,mission_number,mission_total_emissions,mission_emission_per_capacity,mission_emission_per_sqkm,mission_emission_for_every_cost
0,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002495842527198,0,0.0,0.0,0.0,0.0
1,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002495842527198,1,240276.477216,0.0002495842527198,2.084751787609412,0.0002495842527198
2,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002495842527198,2,480552.954432,0.0004991685054396,4.169503575218824,0.0004991685054396
3,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.000247076293557,3,720829.431648,0.0007412288806709999,6.2542553628282365,0.0007412288806709999
4,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.000247076293557,4,961105.908864,0.000988305174228,8.339007150437649,0.000988305174228
5,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.000247076293557,5,1201382.38608,0.001235381467785,10.423758938047062,0.001235381467785
6,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002446182356514,6,1441658.863296,0.0014677094139084002,12.508510725656473,0.0014677094139084002
7,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002446182356514,7,1681935.340512,0.0017123276495598,14.593262513265884,0.0017123276495598
8,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002446182356514,8,1922211.817728,0.0019569458852112,16.678014300875297,0.0019569458852112
9,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002341011510603,9,2162488.294944,0.0021069103595427,18.76276608848471,0.0021069103595427
10,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002341011510603,10,2402764.77216,0.002341011510603,20.847517876094123,0.002341011510603
11,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002341011510603,11,2643041.249376,0.0025751126616633,22.932269663703533,0.0025751126616633
12,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002318933293111,12,2883317.726592,0.0027827199517332,25.017021451312946,0.0027827199517332
13,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002318933293111,13,3123594.203808,0.0030146132810443,27.10177323892236,0.0030146132810443
14,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002318933293111,14,3363870.681024,0.0032465066103554,29.18652502653177,0.0032465066103554
15,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002297267626765,15,3604147.15824,0.0034459014401475,31.27127681414118,0.0034459014401475
16,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002297267626765,16,3844423.635456,0.003675628202824,33.356028601750594,0.003675628202824
17,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002297267626765,17,4084700.112672,0.0039053549655005,35.44078038936001,0.0039053549655005
