,elevation,flight,iteration,band,accuracy,image_processing,grouped_band
379,200,noon,5,RGB_IP,0.819,Yes,RGB
380,250,noon,5,RGB_IP,0.758,Yes,RGB
381,300,noon,5,RGB_IP,0.867,Yes,RGB
382,350,noon,5,RGB_IP,0.395,Yes,RGB
383,400,noon,5,RGB_IP,0.443,Yes,RGB
384,50,pre-sunset,5,RGB_IP,0.805,Yes,RGB
385,100,pre-sunset,5,RGB_IP,0.949,Yes,RGB
386,150,pre-sunset,5,RGB_IP,0.96,Yes,RGB
387,200,pre-sunset,5,RGB_IP,0.783,Yes,RGB
388,250,pre-sunset,5,RGB_IP,0.772,Yes,RGB
389,300,pre-sunset,5,RGB_IP,0.77,Yes,RGB
390,350,pre-sunset,5,RGB_IP,0.671,Yes,RGB
391,400,pre-sunset,5,RGB_IP,0.516,Yes,RGB
392,50,post-sunset,5,RGB_IP,0.552,Yes,RGB
393,100,post-sunset,5,RGB_IP,0.719,Yes,RGB
394,150,post-sunset,5,RGB_IP,0.443,Yes,RGB
395,200,post-sunset,5,RGB_IP,0.329,Yes,RGB
396,250,post-sunset,5,RGB_IP,0.426,Yes,RGB
397,300,post-sunset,5,RGB_IP,0.534,Yes,RGB
398,350,post-sunset,5,RGB_IP,0.17,Yes,RGB
399,400,post-sunset,5,RGB_IP,0.0,Yes,RGB
400,50,pre-sunrise,1,LWIR_IP,1.0,Yes,LWIR
401,100,pre-sunrise,1,LWIR_IP,1.0,Yes,LWIR
402,150,pre-sunrise,1,LWIR_IP,1.0,Yes,LWIR
403,200,pre-sunrise,1,LWIR_IP,0.576,Yes,LWIR
404,250,pre-sunrise,1,LWIR_IP,0.0,Yes,LWIR
405,300,pre-sunrise,1,LWIR_IP,0.0,Yes,LWIR
406,350,pre-sunrise,1,LWIR_IP,0.0,Yes,LWIR
407,400,pre-sunrise,1,LWIR_IP,0.0,Yes,LWIR
408,50,post-sunrise,1,LWIR_IP,1.0,Yes,LWIR
409,100,post-sunrise,1,LWIR_IP,0.755,Yes,LWIR
410,150,post-sunrise,1,LWIR_IP,0.338,Yes,LWIR
411,200,post-sunrise,1,LWIR_IP,0.0,Yes,LWIR
412,250,post-sunrise,1,LWIR_IP,0.092,Yes,LWIR
413,300,post-sunrise,1,LWIR_IP,0.109,Yes,LWIR
414,350,post-sunrise,1,LWIR_IP,0.0,Yes,LWIR
415,400,post-sunrise,1,LWIR_IP,0.0,Yes,LWIR
416,50,noon,1,LWIR_IP,0.46,Yes,LWIR
417,100,noon,1,LWIR_IP,0.805,Yes,LWIR
418,150,noon,1,LWIR_IP,0.505,Yes,LWIR
419,200,noon,1,LWIR_IP,0.994,Yes,LWIR
420,250,noon,1,LWIR_IP,0.255,Yes,LWIR
421,300,noon,1,LWIR_IP,0.11,Yes,LWIR
422,350,noon,1,LWIR_IP,0.231,Yes,LWIR
423,400,noon,1,LWIR_IP,0.066,Yes,LWIR
424,50,pre-sunset,1,LWIR_IP,1.0,Yes,LWIR
425,100,pre-sunset,1,LWIR_IP,0.88,Yes,LWIR
426,150,pre-sunset,1,LWIR_IP,0.697,Yes,LWIR
427,200,pre-sunset,1,LWIR_IP,0.576,Yes,LWIR
428,250,pre-sunset,1,LWIR_IP,0.274,Yes,LWIR
429,300,pre-sunset,1,LWIR_IP,0.291,Yes,LWIR
430,350,pre-sunset,1,LWIR_IP,0.137,Yes,LWIR
431,400,pre-sunset,1,LWIR_IP,0.099,Yes,LWIR
432,50,post-sunset,1,LWIR_IP,1.0,Yes,LWIR
433,100,post-sunset,1,LWIR_IP,1.0,Yes,LWIR
434,150,post-sunset,1,LWIR_IP,1.0,Yes,LWIR
435,200,post-sunset,1,LWIR_IP,0.614,Yes,LWIR
436,250,post-sunset,1,LWIR_IP,0.501,Yes,LWIR
437,300,post-sunset,1,LWIR_IP,0.201,Yes,LWIR
438,350,post-sunset,1,LWIR_IP,0.242,Yes,LWIR
439,400,post-sunset,1,LWIR_IP,0.13,Yes,LWIR
440,50,pre-sunrise,2,LWIR_IP,0.505,Yes,LWIR
441,100,pre-sunrise,2,LWIR_IP,0.605,Yes,LWIR
442,150,pre-sunrise,2,LWIR_IP,1.0,Yes,LWIR
443,200,pre-sunrise,2,LWIR_IP,0.0,Yes,LWIR
444,250,pre-sunrise,2,LWIR_IP,0.0,Yes,LWIR
445,300,pre-sunrise,2,LWIR_IP,0.148,Yes,LWIR
446,350,pre-sunrise,2,LWIR_IP,0.0,Yes,LWIR
447,400,pre-sunrise,2,LWIR_IP,0.0,Yes,LWIR
448,50,post-sunrise,2,LWIR_IP,0.505,Yes,LWIR
449,100,post-sunrise,2,LWIR_IP,0.0,Yes,LWIR
450,150,post-sunrise,2,LWIR_IP,0.338,Yes,LWIR
451,200,post-sunrise,2,LWIR_IP,0.434,Yes,LWIR
452,250,post-sunrise,2,LWIR_IP,0.0,Yes,LWIR
453,300,post-sunrise,2,LWIR_IP,0.0,Yes,LWIR
454,350,post-sunrise,2,LWIR_IP,0.0,Yes,LWIR
455,400,post-sunrise,2,LWIR_IP,0.0,Yes,LWIR
456,50,noon,2,LWIR_IP,0.505,Yes,LWIR
457,100,noon,2,LWIR_IP,0.67,Yes,LWIR
458,150,noon,2,LWIR_IP,0.38,Yes,LWIR
459,200,noon,2,LWIR_IP,0.596,Yes,LWIR
460,250,noon,2,LWIR_IP,0.525,Yes,LWIR
461,300,noon,2,LWIR_IP,0.227,Yes,LWIR
462,350,noon,2,LWIR_IP,0.231,Yes,LWIR
463,400,noon,2,LWIR_IP,0.1,Yes,LWIR
464,50,pre-sunset,2,LWIR_IP,0.805,Yes,LWIR
465,100,pre-sunset,2,LWIR_IP,0.754,Yes,LWIR
466,150,pre-sunset,2,LWIR_IP,0.697,Yes,LWIR
467,200,pre-sunset,2,LWIR_IP,0.691,Yes,LWIR
468,250,pre-sunset,2,LWIR_IP,0.274,Yes,LWIR
469,300,pre-sunset,2,LWIR_IP,0.199,Yes,LWIR
470,350,pre-sunset,2,LWIR_IP,0.131,Yes,LWIR
471,400,pre-sunset,2,LWIR_IP,0.063,Yes,LWIR
472,50,post-sunset,2,LWIR_IP,0.672,Yes,LWIR
473,100,post-sunset,2,LWIR_IP,1.0,Yes,LWIR
474,150,post-sunset,2,LWIR_IP,0.862,Yes,LWIR
475,200,post-sunset,2,LWIR_IP,0.811,Yes,LWIR
476,250,post-sunset,2,LWIR_IP,0.501,Yes,LWIR
477,300,post-sunset,2,LWIR_IP,0.338,Yes,LWIR
478,350,post-sunset,2,LWIR_IP,0.128,Yes,LWIR
479,400,post-sunset,2,LWIR_IP,0.159,Yes,LWIR
480,50,pre-sunrise,3,LWIR_IP,0.672,Yes,LWIR
481,100,pre-sunrise,3,LWIR_IP,0.605,Yes,LWIR
482,150,pre-sunrise,3,LWIR_IP,1.0,Yes,LWIR
483,200,pre-sunrise,3,LWIR_IP,0.148,Yes,LWIR
484,250,pre-sunrise,3,LWIR_IP,0.0,Yes,LWIR
485,300,pre-sunrise,3,LWIR_IP,0.148,Yes,LWIR
486,350,pre-sunrise,3,LWIR_IP,0.0,Yes,LWIR
487,400,pre-sunrise,3,LWIR_IP,0.043,Yes,LWIR
488,50,post-sunrise,3,LWIR_IP,1.0,Yes,LWIR
489,100,post-sunrise,3,LWIR_IP,0.672,Yes,LWIR
490,150,post-sunrise,3,LWIR_IP,0.0,Yes,LWIR
491,200,post-sunrise,3,LWIR_IP,0.0,Yes,LWIR
492,250,post-sunrise,3,LWIR_IP,0.0,Yes,LWIR
493,300,post-sunrise,3,LWIR_IP,0.095,Yes,LWIR
494,350,post-sunrise,3,LWIR_IP,0.0,Yes,LWIR
495,400,post-sunrise,3,LWIR_IP,0.0,Yes,LWIR
496,50,noon,3,LWIR_IP,0.338,Yes,LWIR
497,100,noon,3,LWIR_IP,0.55,Yes,LWIR
498,150,noon,3,LWIR_IP,0.38,Yes,LWIR
499,200,noon,3,LWIR_IP,0.637,Yes,LWIR
500,250,noon,3,LWIR_IP,0.288,Yes,LWIR
501,300,noon,3,LWIR_IP,0.199,Yes,LWIR
502,350,noon,3,LWIR_IP,0.132,Yes,LWIR
503,400,noon,3,LWIR_IP,0.244,Yes,LWIR
504,50,pre-sunset,3,LWIR_IP,0.711,Yes,LWIR
505,100,pre-sunset,3,LWIR_IP,0.862,Yes,LWIR
506,150,pre-sunset,3,LWIR_IP,0.783,Yes,LWIR
507,200,pre-sunset,3,LWIR_IP,0.725,Yes,LWIR
508,250,pre-sunset,3,LWIR_IP,0.274,Yes,LWIR
509,300,pre-sunset,3,LWIR_IP,0.23,Yes,LWIR
510,350,pre-sunset,3,LWIR_IP,0.062,Yes,LWIR
511,400,pre-sunset,3,LWIR_IP,0.018,Yes,LWIR
512,50,post-sunset,3,LWIR_IP,0.998,Yes,LWIR
513,100,post-sunset,3,LWIR_IP,1.0,Yes,LWIR
514,150,post-sunset,3,LWIR_IP,0.946,Yes,LWIR
515,200,post-sunset,3,LWIR_IP,0.358,Yes,LWIR
516,250,post-sunset,3,LWIR_IP,0.795,Yes,LWIR
517,300,post-sunset,3,LWIR_IP,0.205,Yes,LWIR
518,350,post-sunset,3,LWIR_IP,0.142,Yes,LWIR
519,400,post-sunset,3,LWIR_IP,0.07,Yes,LWIR
520,50,pre-sunrise,4,LWIR_IP,1.0,Yes,LWIR
521,100,pre-sunrise,4,LWIR_IP,0.405,Yes,LWIR
522,150,pre-sunrise,4,LWIR_IP,0.198,Yes,LWIR
523,200,pre-sunrise,4,LWIR_IP,0.0,Yes,LWIR
524,250,pre-sunrise,4,LWIR_IP,0.0,Yes,LWIR
525,300,pre-sunrise,4,LWIR_IP,0.12,Yes,LWIR
526,350,pre-sunrise,4,LWIR_IP,0.0,Yes,LWIR
527,400,pre-sunrise,4,LWIR_IP,0.0,Yes,LWIR
528,50,post-sunrise,4,LWIR_IP,0.0,Yes,LWIR
529,100,post-sunrise,4,LWIR_IP,0.338,Yes,LWIR
530,150,post-sunrise,4,LWIR_IP,0.0,Yes,LWIR
531,200,post-sunrise,4,LWIR_IP,0.0,Yes,LWIR
532,250,post-sunrise,4,LWIR_IP,0.0,Yes,LWIR
533,300,post-sunrise,4,LWIR_IP,0.148,Yes,LWIR
534,350,post-sunrise,4,LWIR_IP,0.0,Yes,LWIR
535,400,post-sunrise,4,LWIR_IP,0.0,Yes,LWIR
536,50,noon,4,LWIR_IP,0.46,Yes,LWIR
537,100,noon,4,LWIR_IP,0.605,Yes,LWIR
538,150,noon,4,LWIR_IP,0.449,Yes,LWIR
539,200,noon,4,LWIR_IP,0.159,Yes,LWIR
540,250,noon,4,LWIR_IP,0.274,Yes,LWIR
541,300,noon,4,LWIR_IP,0.199,Yes,LWIR
542,350,noon,4,LWIR_IP,0.045,Yes,LWIR
543,400,noon,4,LWIR_IP,0.179,Yes,LWIR
544,50,pre-sunset,4,LWIR_IP,0.805,Yes,LWIR
545,100,pre-sunset,4,LWIR_IP,0.755,Yes,LWIR
546,150,pre-sunset,4,LWIR_IP,0.852,Yes,LWIR
547,200,pre-sunset,4,LWIR_IP,0.711,Yes,LWIR
548,250,pre-sunset,4,LWIR_IP,0.727,Yes,LWIR
549,300,pre-sunset,4,LWIR_IP,0.249,Yes,LWIR
550,350,pre-sunset,4,LWIR_IP,0.074,Yes,LWIR
551,400,pre-sunset,4,LWIR_IP,0.018,Yes,LWIR
552,50,post-sunset,4,LWIR_IP,0.752,Yes,LWIR
553,100,post-sunset,4,LWIR_IP,0.672,Yes,LWIR
554,150,post-sunset,4,LWIR_IP,0.641,Yes,LWIR
555,200,post-sunset,4,LWIR_IP,0.505,Yes,LWIR
556,250,post-sunset,4,LWIR_IP,0.687,Yes,LWIR
557,300,post-sunset,4,LWIR_IP,0.153,Yes,LWIR
558,350,post-sunset,4,LWIR_IP,0.434,Yes,LWIR
559,400,post-sunset,4,LWIR_IP,0.1,Yes,LWIR
560,50,pre-sunrise,5,LWIR_IP,1.0,Yes,LWIR
561,100,pre-sunrise,5,LWIR_IP,0.405,Yes,LWIR
562,150,pre-sunrise,5,LWIR_IP,0.338,Yes,LWIR
563,200,pre-sunrise,5,LWIR_IP,0.0,Yes,LWIR
564,250,pre-sunrise,5,LWIR_IP,0.0,Yes,LWIR
565,300,pre-sunrise,5,LWIR_IP,0.329,Yes,LWIR
566,350,pre-sunrise,5,LWIR_IP,0.06,Yes,LWIR
567,400,pre-sunrise,5,LWIR_IP,0.0,Yes,LWIR
568,50,post-sunrise,5,LWIR_IP,0.148,Yes,LWIR
569,100,post-sunrise,5,LWIR_IP,0.505,Yes,LWIR
570,150,post-sunrise,5,LWIR_IP,0.672,Yes,LWIR
571,200,post-sunrise,5,LWIR_IP,0.255,Yes,LWIR
572,250,post-sunrise,5,LWIR_IP,0.0,Yes,LWIR
573,300,post-sunrise,5,LWIR_IP,0.0,Yes,LWIR
574,350,post-sunrise,5,LWIR_IP,0.0,Yes,LWIR
575,400,post-sunrise,5,LWIR_IP,0.0,Yes,LWIR
576,50,noon,5,LWIR_IP,0.672,Yes,LWIR
577,100,noon,5,LWIR_IP,0.605,Yes,LWIR
578,150,noon,5,LWIR_IP,0.617,Yes,LWIR
579,200,noon,5,LWIR_IP,0.123,Yes,LWIR
580,250,noon,5,LWIR_IP,0.274,Yes,LWIR
581,300,noon,5,LWIR_IP,0.1,Yes,LWIR
582,350,noon,5,LWIR_IP,0.205,Yes,LWIR
583,400,noon,5,LWIR_IP,0.179,Yes,LWIR
584,50,pre-sunset,5,LWIR_IP,0.641,Yes,LWIR
585,100,pre-sunset,5,LWIR_IP,0.949,Yes,LWIR
586,150,pre-sunset,5,LWIR_IP,0.812,Yes,LWIR
587,200,pre-sunset,5,LWIR_IP,0.842,Yes,LWIR
588,250,pre-sunset,5,LWIR_IP,0.632,Yes,LWIR
589,300,pre-sunset,5,LWIR_IP,0.312,Yes,LWIR
590,350,pre-sunset,5,LWIR_IP,0.398,Yes,LWIR
591,400,pre-sunset,5,LWIR_IP,0.07,Yes,LWIR
592,50,post-sunset,5,LWIR_IP,1.0,Yes,LWIR
593,100,post-sunset,5,LWIR_IP,0.862,Yes,LWIR
594,150,post-sunset,5,LWIR_IP,0.63,Yes,LWIR
595,200,post-sunset,5,LWIR_IP,0.348,Yes,LWIR
596,250,post-sunset,5,LWIR_IP,0.427,Yes,LWIR
597,300,post-sunset,5,LWIR_IP,0.241,Yes,LWIR
598,350,post-sunset,5,LWIR_IP,0.383,Yes,LWIR
599,400,post-sunset,5,LWIR_IP,0.12,Yes,LWIR
600,50,pre-sunrise,1,RGB-LWIR,0.0,No,RGB-LWIR
601,100,pre-sunrise,1,RGB-LWIR,1.0,No,RGB-LWIR
602,150,pre-sunrise,1,RGB-LWIR,0.998,No,RGB-LWIR
603,200,pre-sunrise,1,RGB-LWIR,0.073,No,RGB-LWIR
604,250,pre-sunrise,1,RGB-LWIR,0.0793,No,RGB-LWIR
605,300,pre-sunrise,1,RGB-LWIR,0.046,No,RGB-LWIR
606,350,pre-sunrise,1,RGB-LWIR,0.0,No,RGB-LWIR
607,400,pre-sunrise,1,RGB-LWIR,0.0,No,RGB-LWIR
608,50,post-sunrise,1,RGB-LWIR,0.999,No,RGB-LWIR
609,100,post-sunrise,1,RGB-LWIR,0.755,No,RGB-LWIR
610,150,post-sunrise,1,RGB-LWIR,0.998,No,RGB-LWIR
611,200,post-sunrise,1,RGB-LWIR,0.525,No,RGB-LWIR
612,250,post-sunrise,1,RGB-LWIR,0.54,No,RGB-LWIR
613,300,post-sunrise,1,RGB-LWIR,0.222,No,RGB-LWIR
614,350,post-sunrise,1,RGB-LWIR,0.0,No,RGB-LWIR
615,400,post-sunrise,1,RGB-LWIR,0.126,No,RGB-LWIR
616,50,noon,1,RGB-LWIR,0.732,No,RGB-LWIR
617,100,noon,1,RGB-LWIR,0.46,No,RGB-LWIR
618,150,noon,1,RGB-LWIR,0.72,No,RGB-LWIR
619,200,noon,1,RGB-LWIR,0.863,No,RGB-LWIR
620,250,noon,1,RGB-LWIR,0.428,No,RGB-LWIR
621,300,noon,1,RGB-LWIR,0.297,No,RGB-LWIR
622,350,noon,1,RGB-LWIR,0.476,No,RGB-LWIR
623,400,noon,1,RGB-LWIR,0.269,No,RGB-LWIR
624,50,pre-sunset,1,RGB-LWIR,0.892,No,RGB-LWIR
625,100,pre-sunset,1,RGB-LWIR,0.783,No,RGB-LWIR
626,150,pre-sunset,1,RGB-LWIR,0.871,No,RGB-LWIR
627,200,pre-sunset,1,RGB-LWIR,0.714,No,RGB-LWIR
628,250,pre-sunset,1,RGB-LWIR,0.549,No,RGB-LWIR
629,300,pre-sunset,1,RGB-LWIR,0.574,No,RGB-LWIR
630,350,pre-sunset,1,RGB-LWIR,0.384,No,RGB-LWIR
631,400,pre-sunset,1,RGB-LWIR,0.284,No,RGB-LWIR
632,50,post-sunset,1,RGB-LWIR,0.1,No,RGB-LWIR
633,100,post-sunset,1,RGB-LWIR,0.999,No,RGB-LWIR
634,150,post-sunset,1,RGB-LWIR,0.503,No,RGB-LWIR
635,200,post-sunset,1,RGB-LWIR,0.439,No,RGB-LWIR
636,250,post-sunset,1,RGB-LWIR,0.13,No,RGB-LWIR
637,300,post-sunset,1,RGB-LWIR,0.265,No,RGB-LWIR
638,350,post-sunset,1,RGB-LWIR,0.281,No,RGB-LWIR
639,400,post-sunset,1,RGB-LWIR,0.29,No,RGB-LWIR
640,50,pre-sunrise,2,RGB-LWIR,0.0,No,RGB-LWIR
641,100,pre-sunrise,2,RGB-LWIR,0.603,No,RGB-LWIR
642,150,pre-sunrise,2,RGB-LWIR,0.998,No,RGB-LWIR
643,200,pre-sunrise,2,RGB-LWIR,0.073,No,RGB-LWIR
644,250,pre-sunrise,2,RGB-LWIR,0.05,No,RGB-LWIR
645,300,pre-sunrise,2,RGB-LWIR,0.046,No,RGB-LWIR
646,350,pre-sunrise,2,RGB-LWIR,0.0,No,RGB-LWIR
647,400,pre-sunrise,2,RGB-LWIR,0.11,No,RGB-LWIR
648,50,post-sunrise,2,RGB-LWIR,1.0,No,RGB-LWIR
649,100,post-sunrise,2,RGB-LWIR,0.669,No,RGB-LWIR
650,150,post-sunrise,2,RGB-LWIR,0.998,No,RGB-LWIR
651,200,post-sunrise,2,RGB-LWIR,0.567,No,RGB-LWIR
652,250,post-sunrise,2,RGB-LWIR,0.672,No,RGB-LWIR
653,300,post-sunrise,2,RGB-LWIR,0.561,No,RGB-LWIR
654,350,post-sunrise,2,RGB-LWIR,0.0,No,RGB-LWIR
655,400,post-sunrise,2,RGB-LWIR,0.227,No,RGB-LWIR
656,50,noon,2,RGB-LWIR,3.0,No,RGB-LWIR
657,100,noon,2,RGB-LWIR,0.752,No,RGB-LWIR
658,150,noon,2,RGB-LWIR,0.905,No,RGB-LWIR
659,200,noon,2,RGB-LWIR,0.897,No,RGB-LWIR
660,250,noon,2,RGB-LWIR,0.501,No,RGB-LWIR
661,300,noon,2,RGB-LWIR,0.34,No,RGB-LWIR
662,350,noon,2,RGB-LWIR,0.676,No,RGB-LWIR
663,400,noon,2,RGB-LWIR,0.158,No,RGB-LWIR
664,50,pre-sunset,2,RGB-LWIR,0.872,No,RGB-LWIR
665,100,pre-sunset,2,RGB-LWIR,0.829,No,RGB-LWIR
666,150,pre-sunset,2,RGB-LWIR,0.842,No,RGB-LWIR
667,200,pre-sunset,2,RGB-LWIR,0.715,No,RGB-LWIR
668,250,pre-sunset,2,RGB-LWIR,0.624,No,RGB-LWIR
669,300,pre-sunset,2,RGB-LWIR,0.461,No,RGB-LWIR
670,350,pre-sunset,2,RGB-LWIR,0.353,No,RGB-LWIR
671,400,pre-sunset,2,RGB-LWIR,0.174,No,RGB-LWIR
672,50,post-sunset,2,RGB-LWIR,0.805,No,RGB-LWIR
673,100,post-sunset,2,RGB-LWIR,0.999,No,RGB-LWIR
674,150,post-sunset,2,RGB-LWIR,1.0,No,RGB-LWIR
675,200,post-sunset,2,RGB-LWIR,0.54,No,RGB-LWIR
676,250,post-sunset,2,RGB-LWIR,0.035,No,RGB-LWIR
677,300,post-sunset,2,RGB-LWIR,0.311,No,RGB-LWIR
678,350,post-sunset,2,RGB-LWIR,0.26,No,RGB-LWIR
679,400,post-sunset,2,RGB-LWIR,0.291,No,RGB-LWIR
680,50,pre-sunrise,3,RGB-LWIR,1.0,No,RGB-LWIR
681,100,pre-sunrise,3,RGB-LWIR,0.752,No,RGB-LWIR
682,150,pre-sunrise,3,RGB-LWIR,0.418,No,RGB-LWIR
683,200,pre-sunrise,3,RGB-LWIR,0.359,No,RGB-LWIR
684,250,pre-sunrise,3,RGB-LWIR,0.0,No,RGB-LWIR
685,300,pre-sunrise,3,RGB-LWIR,0.0,No,RGB-LWIR
686,350,pre-sunrise,3,RGB-LWIR,0.079,No,RGB-LWIR
687,400,pre-sunrise,3,RGB-LWIR,0.046,No,RGB-LWIR
688,50,post-sunrise,3,RGB-LWIR,0.997,No,RGB-LWIR
689,100,post-sunrise,3,RGB-LWIR,0.999,No,RGB-LWIR
690,150,post-sunrise,3,RGB-LWIR,0.668,No,RGB-LWIR
691,200,post-sunrise,3,RGB-LWIR,0.904,No,RGB-LWIR
692,250,post-sunrise,3,RGB-LWIR,0.46,No,RGB-LWIR
693,300,post-sunrise,3,RGB-LWIR,0.187,No,RGB-LWIR
694,350,post-sunrise,3,RGB-LWIR,0.135,No,RGB-LWIR
695,400,post-sunrise,3,RGB-LWIR,0.051,No,RGB-LWIR
696,50,noon,3,RGB-LWIR,0.405,No,RGB-LWIR
697,100,noon,3,RGB-LWIR,0.782,No,RGB-LWIR
698,150,noon,3,RGB-LWIR,0.532,No,RGB-LWIR
699,200,noon,3,RGB-LWIR,0.815,No,RGB-LWIR
700,250,noon,3,RGB-LWIR,0.39,No,RGB-LWIR
701,300,noon,3,RGB-LWIR,0.338,No,RGB-LWIR
702,350,noon,3,RGB-LWIR,0.14,No,RGB-LWIR
703,400,noon,3,RGB-LWIR,0.145,No,RGB-LWIR
704,50,pre-sunset,3,RGB-LWIR,0.829,No,RGB-LWIR
705,100,pre-sunset,3,RGB-LWIR,0.829,No,RGB-LWIR
706,150,pre-sunset,3,RGB-LWIR,0.576,No,RGB-LWIR
707,200,pre-sunset,3,RGB-LWIR,0.682,No,RGB-LWIR
708,250,pre-sunset,3,RGB-LWIR,0.662,No,RGB-LWIR
709,300,pre-sunset,3,RGB-LWIR,0.461,No,RGB-LWIR
710,350,pre-sunset,3,RGB-LWIR,0.398,No,RGB-LWIR
711,400,pre-sunset,3,RGB-LWIR,0.335,No,RGB-LWIR
712,50,post-sunset,3,RGB-LWIR,0.505,No,RGB-LWIR
713,100,post-sunset,3,RGB-LWIR,0.86,No,RGB-LWIR
714,150,post-sunset,3,RGB-LWIR,0.504,No,RGB-LWIR
715,200,post-sunset,3,RGB-LWIR,0.338,No,RGB-LWIR
716,250,post-sunset,3,RGB-LWIR,0.788,No,RGB-LWIR
717,300,post-sunset,3,RGB-LWIR,0.303,No,RGB-LWIR
718,350,post-sunset,3,RGB-LWIR,0.15,No,RGB-LWIR
719,400,post-sunset,3,RGB-LWIR,0.234,No,RGB-LWIR
720,50,pre-sunrise,4,RGB-LWIR,0.5,No,RGB-LWIR
721,100,pre-sunrise,4,RGB-LWIR,0.2,No,RGB-LWIR
722,150,pre-sunrise,4,RGB-LWIR,0.167,No,RGB-LWIR
723,200,pre-sunrise,4,RGB-LWIR,0.359,No,RGB-LWIR
724,250,pre-sunrise,4,RGB-LWIR,0.0,No,RGB-LWIR
725,300,pre-sunrise,4,RGB-LWIR,0.0,No,RGB-LWIR
726,350,pre-sunrise,4,RGB-LWIR,0.0,No,RGB-LWIR
727,400,pre-sunrise,4,RGB-LWIR,0.0,No,RGB-LWIR
728,50,post-sunrise,4,RGB-LWIR,1.0,No,RGB-LWIR
729,100,post-sunrise,4,RGB-LWIR,0.672,No,RGB-LWIR
730,150,post-sunrise,4,RGB-LWIR,0.668,No,RGB-LWIR
731,200,post-sunrise,4,RGB-LWIR,0.779,No,RGB-LWIR
732,250,post-sunrise,4,RGB-LWIR,0.63,No,RGB-LWIR
733,300,post-sunrise,4,RGB-LWIR,0.291,No,RGB-LWIR
734,350,post-sunrise,4,RGB-LWIR,0.205,No,RGB-LWIR
735,400,post-sunrise,4,RGB-LWIR,0.116,No,RGB-LWIR
736,50,noon,4,RGB-LWIR,0.703,No,RGB-LWIR
737,100,noon,4,RGB-LWIR,0.721,No,RGB-LWIR
738,150,noon,4,RGB-LWIR,0.668,No,RGB-LWIR
739,200,noon,4,RGB-LWIR,0.916,No,RGB-LWIR
740,250,noon,4,RGB-LWIR,0.322,No,RGB-LWIR
741,300,noon,4,RGB-LWIR,0.409,No,RGB-LWIR
742,350,noon,4,RGB-LWIR,0.135,No,RGB-LWIR
743,400,noon,4,RGB-LWIR,0.293,No,RGB-LWIR
744,50,pre-sunset,4,RGB-LWIR,0.905,No,RGB-LWIR
745,100,pre-sunset,4,RGB-LWIR,0.67,No,RGB-LWIR
746,150,pre-sunset,4,RGB-LWIR,0.576,No,RGB-LWIR
747,200,pre-sunset,4,RGB-LWIR,0.749,No,RGB-LWIR
748,250,pre-sunset,4,RGB-LWIR,0.656,No,RGB-LWIR
749,300,pre-sunset,4,RGB-LWIR,0.359,No,RGB-LWIR
750,350,pre-sunset,4,RGB-LWIR,0.295,No,RGB-LWIR
751,400,pre-sunset,4,RGB-LWIR,0.333,No,RGB-LWIR
752,50,post-sunset,4,RGB-LWIR,0.718,No,RGB-LWIR
753,100,post-sunset,4,RGB-LWIR,0.837,No,RGB-LWIR
754,150,post-sunset,4,RGB-LWIR,0.517,No,RGB-LWIR
755,200,post-sunset,4,RGB-LWIR,0.318,No,RGB-LWIR
756,250,post-sunset,4,RGB-LWIR,0.655,No,RGB-LWIR
757,300,post-sunset,4,RGB-LWIR,0.307,No,RGB-LWIR
758,350,post-sunset,4,RGB-LWIR,0.63,No,RGB-LWIR
759,400,post-sunset,4,RGB-LWIR,0.276,No,RGB-LWIR
760,50,pre-sunrise,5,RGB-LWIR,1.0,No,RGB-LWIR
761,100,pre-sunrise,5,RGB-LWIR,0.251,No,RGB-LWIR
762,150,pre-sunrise,5,RGB-LWIR,0.629,No,RGB-LWIR
763,200,pre-sunrise,5,RGB-LWIR,0.0,No,RGB-LWIR
764,250,pre-sunrise,5,RGB-LWIR,0.067,No,RGB-LWIR
765,300,pre-sunrise,5,RGB-LWIR,0.307,No,RGB-LWIR
766,350,pre-sunrise,5,RGB-LWIR,0.123,No,RGB-LWIR
767,400,pre-sunrise,5,RGB-LWIR,0.0,No,RGB-LWIR
768,50,post-sunrise,5,RGB-LWIR,0.549,No,RGB-LWIR
769,100,post-sunrise,5,RGB-LWIR,0.672,No,RGB-LWIR
770,150,post-sunrise,5,RGB-LWIR,0.672,No,RGB-LWIR
771,200,post-sunrise,5,RGB-LWIR,0.872,No,RGB-LWIR
772,250,post-sunrise,5,RGB-LWIR,0.63,No,RGB-LWIR
773,300,post-sunrise,5,RGB-LWIR,0.0,No,RGB-LWIR
774,350,post-sunrise,5,RGB-LWIR,0.205,No,RGB-LWIR
775,400,post-sunrise,5,RGB-LWIR,0.247,No,RGB-LWIR
776,50,noon,5,RGB-LWIR,0.703,No,RGB-LWIR
777,100,noon,5,RGB-LWIR,0.999,No,RGB-LWIR
778,150,noon,5,RGB-LWIR,0.668,No,RGB-LWIR
779,200,noon,5,RGB-LWIR,0.813,No,RGB-LWIR
780,250,noon,5,RGB-LWIR,0.057,No,RGB-LWIR
781,300,noon,5,RGB-LWIR,0.42,No,RGB-LWIR
782,350,noon,5,RGB-LWIR,0.135,No,RGB-LWIR
783,400,noon,5,RGB-LWIR,0.213,No,RGB-LWIR
