iteration,constellation,number_of_satellites,number_of_ground_stations,subscribers_low,subscribers_baseline,subscribers_high,satellite_manufacturing,satellite_launch_cost,ground_station_cost,regulation_fees,fiber_infrastructure_cost,ground_station_energy,subscriber_acquisition,staff_costs,maintenance_costs,capex_costs,opex_costs,discount_rate,assessment_period_year
33,Starlink,4425,150,2500000,3500000,4500000,1267713825,1178594325,66101400,2255490,7187700,116400,22964440,343343000,8489525,2519597250,1654719446.24361,7,5
34,Starlink,4425,150,2500000,3500000,4500000,849139800,1166222025,82162350,2493560,7947600,92250,22926803,361662400,8472766,2105471775,1735790389.6237516,7,5
35,Starlink,4425,150,2500000,3500000,4500000,881389200,1152070875,83467650,2132750,5238750,109650,22950791,455989600,8412415,2122166475,2147957598.8739743,7,5
36,Starlink,4425,150,2500000,3500000,4500000,728532000,1238991150,74393850,2160680,8179050,110250,22919040,485487200,8448096,2050096050,2277512210.5100293,7,5
37,Starlink,4425,150,2500000,3500000,4500000,911527875,1184647725,70241100,2247510,9120900,108300,22904867,491876000,8387678,2175537600,2305586365.801944,7,5
38,Starlink,4425,150,2500000,3500000,4500000,1038976725,1185466350,73213800,2281710,7407000,101100,23092273,395397200,8390841,2305063875,1883268009.5976696,7,5
39,Starlink,4425,150,2500000,3500000,4500000,708592950,1178235900,60362250,2208560,7398600,114000,23065933,267711400,8433294,1954589700,1322889792.2038414,7,5
40,Starlink,4425,150,2500000,3500000,4500000,1024356525,1154070975,65422200,2494320,7015950,114600,22938671,269497800,8521898,2250865650,1331813827.3950377,7,5
41,Starlink,4425,150,2500000,3500000,4500000,916103325,1208887875,72344550,2173980,7290750,106200,23014801,221458600,8427138,2204626500,1119531722.8293576,7,5
42,Starlink,4425,150,2500000,3500000,4500000,748041825,1217215725,82020750,2220340,6577650,119400,22952312,279580400,8490477,2053855950,1374789369.4673057,7,5
43,Starlink,4425,150,2500000,3500000,4500000,843520050,1220069850,68166150,2463730,8361000,95100,23098518,392026800,8412980,2140117050,1869378116.30855,7,5
44,Starlink,4425,150,2500000,3500000,4500000,883468950,1201188375,83642100,2305650,8710950,119400,23093824,236429600,8458981,2177010375,1186334630.4077623,7,5
45,Starlink,4425,150,2500000,3500000,4500000,1452099150,1170399225,88554450,2283610,5365800,118050,23098725,455602400,8474965,2716418625,2147881015.714281,7,5
46,Starlink,4425,150,2500000,3500000,4500000,791574975,1212330525,85800300,2228890,8054100,90900,22968392,329214600,8439196,2097759900,1592303131.3248823,7,5
47,Starlink,4425,150,2500000,3500000,4500000,754024425,1201573350,61410600,2197160,5959950,101550,23047284,478863000,8349583,2022968325,2248702758.6115317,7,5
48,Starlink,4425,150,2500000,3500000,4500000,823209300,1219335300,83230050,2348400,7843200,95250,23022834,264675400,8341511,2133617850,1309509710.4115682,7,5
49,Starlink,4425,150,2500000,3500000,4500000,749156925,1207786050,66925200,2272400,8102250,101400,23033331,495906400,8439942,2031970425,2324140399.896458,7,5
50,Starlink,4425,150,2500000,3500000,4500000,1152358500,1230003975,74873400,2400270,8406300,119550,22990652,390913600,8452966,2465642175,1864025323.726651,7,5
51,Starlink,4425,150,2500000,3500000,4500000,1138738350,1215091725,82420800,2217680,9317100,105750,22943498,341726000,8380272,2445567975,1646841528.414884,7,5
52,Starlink,4425,150,2500000,3500000,4500000,1437793125,1167766350,65445600,2505910,6996300,105750,22995286,546825400,8426803,2678001375,2548351796.912856,7,5
53,Starlink,4425,150,2500000,3500000,4500000,746878050,1216432500,69871950,2274680,7802700,91650,22921511,507639000,8431051,2040985200,2375051437.557982,7,5
54,Starlink,4425,150,2500000,3500000,4500000,933104175,1219397250,83303400,2447580,8294100,97050,23003326,390016000,8392812,2244098925,1859987904.8236647,7,5
55,Starlink,4425,150,2500000,3500000,4500000,1040804250,1198228050,61609800,2253970,6080700,105900,22920386,468525200,8456842,2306722800,2203530807.4830384,7,5
56,Starlink,4425,150,2500000,3500000,4500000,812483100,1232636850,74397600,2310400,5444250,99300,23068268,459305000,8413942,2124961800,2163759035.2052255,7,5
57,Starlink,4425,150,2500000,3500000,4500000,1022232525,1213494300,75611250,2153080,6271500,102900,22953680,370420600,8365141,2317609575,1772413170.8268573,7,5
58,Starlink,4425,150,2500000,3500000,4500000,955614150,1153929375,73627500,2392480,5410500,106800,23003768,259091800,8512141,2188581525,1285922281.489048,7,5
59,Starlink,4425,150,2500000,3500000,4500000,928568550,1155633000,83212200,2369680,9114750,109650,22983194,456731000,8498436,2176528500,2152769290.3683457,7,5
60,Starlink,4425,150,2500000,3500000,4500000,762538125,1193263200,82105800,2194310,6227700,90750,23022317,486340800,8379168,2044134825,2281469821.653049,7,5
61,Starlink,4425,150,2500000,3500000,4500000,1177297800,1207392225,86163450,2140540,6327600,103800,22996669,499620000,8460437,2477181075,2339793851.2048173,7,5
62,Starlink,4425,150,2500000,3500000,4500000,1475905650,1155987000,89459250,2273350,7122900,90450,22985753,442549800,8423088,2728474800,2089727174.861574,7,5
63,Starlink,4425,150,2500000,3500000,4500000,825089925,1153150575,77485200,2283610,5929800,97800,23016070,340120000,8463065,2061655500,1640731656.7225134,7,5
64,Starlink,4425,150,2500000,3500000,4500000,771193425,1230765075,69150300,2477410,6169200,95400,22996397,486618000,8465660,2077278000,2284214118.812615,7,5
65,Starlink,4425,150,2500000,3500000,4500000,1239486750,1182227250,68824950,2277910,5398200,115800,23073751,463491600,8422412,2495937150,2182117597.1022077,7,5
66,Starlink,4425,150,2500000,3500000,4500000,835895775,1178589900,64139400,2162010,6688500,92850,22961020,388150400,8490441,2085313575,1850774554.9861615,7,5
67,Starlink,4425,150,2500000,3500000,4500000,868649625,1179488175,66845550,2313820,5118750,110850,23019393,228762600,8468856,2120102100,1152412993.7543037,7,5
68,Starlink,4425,150,2500000,3500000,4500000,700119075,1237986675,80454750,2179300,6819600,103050,23048981,355984200,8438170,2025380100,1709931824.275675,7,5
