constellation,subscribers_low,subscribers_baseline,subscribers_high,capex_costs,opex_costs,total_cost_ownership,assessment_period_year,capex_scenario,opex_scenario
Starlink,2500000,3500000,4500000,2839070850.0,381630500,4559498292.722995,5,Low,High
Starlink,2500000,3500000,4500000,2839070850.0,381635500,4559520228.779277,5,Low,High
Starlink,2500000,3500000,4500000,2839070850.0,381640500,4559542164.83556,5,Low,High
Starlink,2500000,3500000,4500000,1954070850.0,431630500,3893858855.5461907,5,Low,High
Starlink,2500000,3500000,4500000,1954070850.0,431635500,3893880791.6024733,5,Low,High
Starlink,2500000,3500000,4500000,1954070850.0,431640500,3893902727.6587553,5,Low,High
Starlink,2500000,3500000,4500000,2396570850.0,431630500,4336358855.54619,5,Low,High
Starlink,2500000,3500000,4500000,2396570850.0,431635500,4336380791.602473,5,Low,High
Starlink,2500000,3500000,4500000,2396570850.0,431640500,4336402727.658755,5,Low,High
Starlink,2500000,3500000,4500000,2839070850.0,431630500,4778858855.54619,5,Low,High
Starlink,2500000,3500000,4500000,2839070850.0,431635500,4778880791.602473,5,Low,High
Starlink,2500000,3500000,4500000,2839070850.0,431640500,4778902727.658755,5,Low,High
Starlink,2500000,3500000,4500000,1954070850.0,481630500,4113219418.369387,5,Low,High
Starlink,2500000,3500000,4500000,1954070850.0,481635500,4113241354.4256697,5,Low,High
Starlink,2500000,3500000,4500000,1954070850.0,481640500,4113263290.4819517,5,Low,High
Starlink,2500000,3500000,4500000,2396570850.0,481630500,4555719418.369387,5,Low,High
Starlink,2500000,3500000,4500000,2396570850.0,481635500,4555741354.42567,5,Low,High
Starlink,2500000,3500000,4500000,2396570850.0,481640500,4555763290.481952,5,Low,High
Starlink,2500000,3500000,4500000,2839070850.0,481630500,4998219418.369387,5,Low,High
Starlink,2500000,3500000,4500000,2839070850.0,481635500,4998241354.42567,5,Low,High
Starlink,2500000,3500000,4500000,2839070850.0,481640500,4998263290.481952,5,Low,High
Starlink,2500000,3500000,4500000,1969070850.0,381430500,3688620850.4717016,5,High,Low
Starlink,2500000,3500000,4500000,1969070850.0,381435500,3688642786.527984,5,High,Low
Starlink,2500000,3500000,4500000,1969070850.0,381440500,3688664722.5842667,5,High,Low
Starlink,2500000,3500000,4500000,2411570850.0,381430500,4131120850.4717016,5,High,Low
Starlink,2500000,3500000,4500000,2411570850.0,381435500,4131142786.527984,5,High,Low
Starlink,2500000,3500000,4500000,2411570850.0,381440500,4131164722.5842667,5,High,Low
Starlink,2500000,3500000,4500000,2854070850.0,381430500,4573620850.471702,5,High,Low
Starlink,2500000,3500000,4500000,2854070850.0,381435500,4573642786.527985,5,High,Low
Starlink,2500000,3500000,4500000,2854070850.0,381440500,4573664722.584267,5,High,Low
Starlink,2500000,3500000,4500000,1969070850.0,431430500,3907981413.294898,5,High,Low
Starlink,2500000,3500000,4500000,1969070850.0,431435500,3908003349.3511806,5,High,Low
