Properties,Details
Constellation Name,Kuiper
Operator,Amazon
Satellites,"3,236"
Earth Radius,"6,378 km"
Orbital Altitude,610 km
Orbital Radius,"6,988 km"
Path Distance,982 km
Satellite Centric Angle,48.4 Deg
Earth Centric Angle,6.61 Deg
Mean Satellites per Launch,36
Satellites in Orbit (phase 1),_
Launch Vehicle,TBC
