Properties,Details
Constellation Name,Kuiper
Operator,Amazon
Satellites,3236
Earth Radius,6378 km
Orbital Altitude,610 km
Orbital Radius,6988 km
Path Distance,982 km
Satellite Centric Angle,48.4 ⁰
Earth Centric Angle,6.61 ⁰
Satellite Coverage Area,1700600 km2
Average Satellites per Launch,_
Satellites in Orbit (phase 1),_
Launch Vehicle,TBC
