Properties,Details
Constellation Name,OneWeb
Operator,Eutelsat Group
Satellites,720
Earth Radius,6378 km
Orbital Altitude,1200
Orbital Radius,7578 km
Path Distance,1580 km
Satellite Centric Angle,36.5 ⁰
Earth Centric Angle,8.48 ⁰
Satellite Coverage Area,2792849 km2
Average Satellites per Launch,_
Satellites in Orbit (phase 1),over 630
Launch Vehicle,Soyuz-FG/Falcon-9/LVM3
