Properties,Details
Rocket Name,Falcon 9
Dry Mass,22000 kg
Operator,SpaceX
Payload  to LEO,22800 kg
Fuel Type,Kerosene (Rocket Propellant-1)
Height,70m
Price Per Launch ($),62M
Propellant Mass,488370 kg
