Properties,Falcon_9,Falcon Heavy,Soyuz_FG,Ariane_5,Unit
Dry Mass,22,22,312,12,tonnes
Operator,SpaceX,SpaceX,Progress Rocket Space Center,European Space Agency,_
Payload  to LEO,23,64,8,20,tonnes
Fuel Type,Kerosene (Rocket Propellant-1),Kerosene (Rocket Propellant-1),Kerosene and Hypergolic,"Solid, Hypergolic and Cryogenic",_
Height,70,70,46,46 - 52,m
Price Per Launch ($),62,90,80,149 - 198,US$ Million
Propellant Mass,488,1397,256,7645,tonnes
