constellation,no_of_satellites,no_of_launches,climate_change_baseline_kg,climate_change_worst_case_kg,ozone_depletion_baseline_kg,ozone_depletion_worst_case_kg,resource_depletion_kg,freshwater_toxicity_m3,human_toxicity,subscribers,subscriber_scenario,impact_category,rocket_detailed,scenario,status,representative_of,rocket_type,annual_baseline_emission_kg,annual_worst_case_emission_kg
oneweb,72,2,22086.37364,22086.37364,0.003785602,0.003785602,0.389573824,34683.75558,0.003307852,500000,subscribers_low,launcher_transportation,lvm3_hydrogen,scenario1,Historical,Representative,hydrogen,4417.274728,4417.274728
kuiper,648,18,198777.36276000002,198777.36276000002,0.034070418,0.034070418,3.5061644160000003,312153.80022,0.029770668,1500000,subscribers_low,launcher_transportation,ariane_6_hydrogen,scenario1,scenario,Representative,hydrogen,39755.47255200001,39755.47255200001
kuiper,972,27,290915.93772000005,290915.93772000005,0.066255786,0.066255786,13.437430389,468230.70032999996,0.099185283,1500000,subscribers_low,launcher_transportation,glenn_hydrocarbon,scenario1,scenario,Representative,hydrocarbon,58183.18754400001,58183.18754400001
kuiper,1368,38,409437.24568000005,409437.24568000005,0.09324888399999999,0.09324888399999999,18.911939066,658991.35602,0.139594102,1500000,subscribers_low,launcher_transportation,vulcan_hydrocarbon,scenario1,scenario,Representative,hydrocarbon,81887.44913600001,81887.44913600001
kuiper,108,3,51662.17473,51662.17473,0.010704852,0.010704852,2.51061492,142713.61026,0.014300052,1500000,subscribers_low,launcher_transportation,falcon9,scenario1,scenario,Representative,hydrocarbon,10332.434946,10332.434946
kuiper,72,2,21549.32872,21549.32872,0.004907836,0.004907836,0.995365214,34683.75558,0.007347058,1500000,subscribers_low,launcher_transportation,unknown_hydrocarbon,scenario1,scenario,Representative,hydrocarbon,4309.865744000001,4309.865744000001
kuiper,72,2,22086.37364,22086.37364,0.003785602,0.003785602,0.389573824,34683.75558,0.003307852,1500000,subscribers_low,launcher_transportation,unknown_hydrogen,scenario1,scenario,Representative,hydrogen,4417.274728,4417.274728
geo_generic,10,10,107746.64360000001,107746.64360000001,0.024539179999999997,0.024539179999999997,4.9768260699999995,173418.7779,0.036735290000000004,1500000,subscribers_low,launcher_transportation,unknown_hydrocarbon,scenario1,scenario,Representative,hydrocarbon,7183.109573333334,7183.109573333334
geo_generic,9,9,99388.68138000001,99388.68138000001,0.017035209,0.017035209,1.7530822080000001,156076.90011,0.014885334,1500000,subscribers_low,launcher_transportation,unknown_hydrogen,scenario1,scenario,Representative,hydrogen,6625.9120920000005,6625.9120920000005
starlink,4425,192,2120291.86944,2120291.86944,0.363417792,0.363417792,37.399087104,3329640.5356799997,0.317553792,2500000,subscribers_low,launcher_transportation,unknown_hyg,scenario2,scenario,Representative,hydrocarbon,424058.37388800003,424058.37388800003
oneweb,648,18,198777.36276000002,198777.36276000002,0.034070418,0.034070418,3.5061644160000003,312153.80022,0.029770668,500000,subscribers_low,launcher_transportation,unknown_hyg,scenario2,scenario,Representative,hydrocarbon,39755.47255200001,39755.47255200001
kuiper,3236,90,993886.8138000001,993886.8138000001,0.17035208999999998,0.17035208999999998,17.53082208,1560769.0011,0.14885334,1500000,subscribers_low,launcher_transportation,unknown_hyg,scenario2,scenario,Representative,hydrocarbon,198777.36276000002,198777.36276000002
geo_generic,19,19,209820.54958000002,209820.54958000002,0.035963219,0.035963219,3.700951328,329495.67801,0.031424594,1500000,subscribers_low,launcher_transportation,unknown_hyg,scenario2,scenario,Representative,hydrocarbon,13988.036638666668,13988.036638666668
starlink,4425,192,2068735.55712,2068735.55712,0.471152256,0.471152256,95.555060544,3329640.5356799997,0.705317568,2500000,subscribers_low,launcher_transportation,unknown_hyc,scenario3,scenario,Representative,hydrogen,413747.111424,413747.111424
oneweb,648,18,193943.95848,193943.95848,0.044170523999999996,0.044170523999999996,8.958286926,312153.80022,0.066123522,500000,subscribers_low,launcher_transportation,unknown_hyc,scenario3,scenario,Representative,hydrogen,38788.791696,38788.791696
kuiper,3236,90,969719.7924,969719.7924,0.22085261999999997,0.22085261999999997,44.79143463,1560769.0011,0.33061761,1500000,subscribers_low,launcher_transportation,unknown_hyc,scenario3,scenario,Representative,hydrogen,193943.95848,193943.95848
geo_generic,19,19,204718.62284000003,204718.62284000003,0.046624441999999995,0.046624441999999995,9.455969533,329495.67801,0.069797051,1500000,subscribers_low,launcher_transportation,unknown_hyc,scenario3,scenario,Representative,hydrogen,13647.908189333335,13647.908189333335
starlink,4425,127,719652706.234,719652706.234,98.789541435,98.789541435,4219.7032674600005,2372791396.14,215.374393736,2500000,subscribers_low,launch_campaign,falcon9,scenario1,Historical,Modeled,hydrocarbon,143930541.2468,143930541.2468
oneweb,394,14,79331794.388,79331794.388,10.890185670000001,10.890185670000001,465.16413972,261567555.48000002,23.742059152000003,500000,subscribers_low,launch_campaign,soyuz,scenario1,Historical,Modeled,hydrocarbon,15866358.8776,15866358.8776
oneweb,180,5,28332783.709999997,28332783.709999997,3.889352025,3.889352025,166.13004990000002,93416984.1,8.47930684,500000,subscribers_low,launch_campaign,falcon9,scenario1,Historical,Modeled,hydrocarbon,5666556.742,5666556.742
oneweb,72,2,11333113.484,11333113.484,1.55574081,1.55574081,66.45201996,37366793.64,3.391722736,500000,subscribers_low,launch_campaign,lvm3_hydrogen,scenario1,Historical,Representative,hydrogen,2266622.6968,2266622.6968
kuiper,648,18,101998021.35599999,101998021.35599999,14.00166729,14.00166729,598.06817964,336301142.76,30.525504624,1500000,subscribers_low,launch_campaign,ariane_6_hydrogen,scenario1,scenario,Representative,hydrogen,20399604.271199998,20399604.271199998
kuiper,972,27,152997032.03399998,152997032.03399998,21.002500935,21.002500935,897.10226946,504451714.14,45.788256936,1500000,subscribers_low,launch_campaign,glenn_hydrocarbon,scenario1,scenario,Representative,hydrocarbon,30599406.406799994,30599406.406799994
kuiper,1368,38,215329156.19599998,215329156.19599998,29.55907539,29.55907539,1262.58837924,709969079.16,64.442731984,1500000,subscribers_low,launch_campaign,vulcan_hydrocarbon,scenario1,scenario,Representative,hydrocarbon,43065831.239199996,43065831.239199996
kuiper,108,3,16999670.226,16999670.226,2.3336112150000003,2.3336112150000003,99.67802994,56050190.46,5.087584104,1500000,subscribers_low,launch_campaign,falcon9,scenario1,scenario,Representative,hydrocarbon,3399934.0452,3399934.0452
kuiper,72,2,11333113.484,11333113.484,1.55574081,1.55574081,66.45201996,37366793.64,3.391722736,1500000,subscribers_low,launch_campaign,unknown_hydrocarbon,scenario1,scenario,Representative,hydrocarbon,2266622.6968,2266622.6968
kuiper,72,2,11333113.484,11333113.484,1.55574081,1.55574081,66.45201996,37366793.64,3.391722736,1500000,subscribers_low,launch_campaign,unknown_hydrogen,scenario1,scenario,Representative,hydrogen,2266622.6968,2266622.6968
geo_generic,10,10,56665567.419999994,56665567.419999994,7.77870405,7.77870405,332.26009980000003,186833968.2,16.95861368,1500000,subscribers_low,launch_campaign,unknown_hydrocarbon,scenario1,scenario,Representative,hydrocarbon,3777704.4946666663,3777704.4946666663
geo_generic,9,9,50999010.677999996,50999010.677999996,7.000833645,7.000833645,299.03408982,168150571.38,15.262752312,1500000,subscribers_low,launch_campaign,unknown_hydrogen,scenario1,scenario,Representative,hydrogen,3399934.0451999996,3399934.0451999996
starlink,4425,192,1087978894.464,1087978894.464,149.35111776000002,149.35111776000002,6379.39391616,3587212189.44,325.605382656,2500000,subscribers_low,launch_campaign,unknown_hyg,scenario2,scenario,Representative,hydrocarbon,217595778.8928,217595778.8928
oneweb,648,18,101998021.35599999,101998021.35599999,14.00166729,14.00166729,598.06817964,336301142.76,30.525504624,500000,subscribers_low,launch_campaign,unknown_hyg,scenario2,scenario,Representative,hydrocarbon,20399604.271199998,20399604.271199998
kuiper,3236,90,509990106.78,509990106.78,70.00833645,70.00833645,2990.3408982,1681505713.8,152.62752312,1500000,subscribers_low,launch_campaign,unknown_hyg,scenario2,scenario,Representative,hydrocarbon,101998021.35599999,101998021.35599999
geo_generic,19,19,107664578.09799999,107664578.09799999,14.779537695,14.779537695,631.29418962,354984539.58,32.221365992,1500000,subscribers_low,launch_campaign,unknown_hyg,scenario2,scenario,Representative,hydrocarbon,7177638.539866666,7177638.539866666
starlink,4425,192,1087978894.464,1087978894.464,149.35111776000002,149.35111776000002,6379.39391616,3587212189.44,325.605382656,2500000,subscribers_low,launch_campaign,unknown_hyc,scenario3,scenario,Representative,hydrogen,217595778.8928,217595778.8928
oneweb,648,18,101998021.35599999,101998021.35599999,14.00166729,14.00166729,598.06817964,336301142.76,30.525504624,500000,subscribers_low,launch_campaign,unknown_hyc,scenario3,scenario,Representative,hydrogen,20399604.271199998,20399604.271199998
kuiper,3236,90,509990106.78,509990106.78,70.00833645,70.00833645,2990.3408982,1681505713.8,152.62752312,1500000,subscribers_low,launch_campaign,unknown_hyc,scenario3,scenario,Representative,hydrogen,101998021.35599999,101998021.35599999
geo_generic,19,19,107664578.09799999,107664578.09799999,14.779537695,14.779537695,631.29418962,354984539.58,32.221365992,1500000,subscribers_low,launch_campaign,unknown_hyc,scenario3,scenario,Representative,hydrogen,7177638.539866666,7177638.539866666
starlink,4425,127,80069199.17040001,3394577785.38,868321.86,3907448.37,0,0,0,3500000,subscribers_baseline,launch_event,falcon9,scenario1,Historical,Modeled,hydrocarbon,16013839.834080001,678915557.076
oneweb,394,14,4041171.5344000002,168440120.66,44199.96,194211.5,0,0,0,800000,subscribers_baseline,launch_event,soyuz,scenario1,Historical,Modeled,hydrocarbon,808234.30688,33688024.132
oneweb,180,5,3152330.676,133644794.7,34185.9,153836.55000000002,0,0,0,800000,subscribers_baseline,launch_event,falcon9,scenario1,Historical,Modeled,hydrocarbon,630466.1352,26728958.94
oneweb,72,2,935633.6,215286686.4,173457.2,422167.2,0,0,0,800000,subscribers_baseline,launch_event,lvm3_hydrogen,scenario1,Historical,Representative,hydrogen,187126.72,43057337.28
kuiper,648,18,8420702.4,1937580177.6000001,1561114.8,3799504.8000000003,0,0,0,2500000,subscribers_baseline,launch_event,ariane_6_hydrogen,scenario1,scenario,Representative,hydrogen,1684140.48,387516035.52000004
kuiper,972,27,12408136.8048,523265347.61999995,134923.32,602634.0599999999,0,0,0,2500000,subscribers_baseline,launch_event,glenn_hydrocarbon,scenario1,scenario,Representative,hydrocarbon,2481627.36096,104653069.52399999
kuiper,1368,38,17463303.6512,736447526.28,189892.08,848151.6399999999,0,0,0,2500000,subscribers_baseline,launch_event,vulcan_hydrocarbon,scenario1,scenario,Representative,hydrocarbon,3492660.73024,147289505.25599998
kuiper,108,3,1891398.4056000002,80186876.82000001,20511.54,92301.93000000001,0,0,0,2500000,subscribers_baseline,launch_event,falcon9,scenario1,scenario,Representative,hydrocarbon,378279.68112,16037375.364000002
kuiper,72,2,919121.2448,38760396.12,9994.32,44639.56,0,0,0,2500000,subscribers_baseline,launch_event,unknown_hydrocarbon,scenario1,scenario,Representative,hydrocarbon,183824.24896,7752079.223999999
kuiper,72,2,935633.6,215286686.4,173457.2,422167.2,0,0,0,2500000,subscribers_baseline,launch_event,unknown_hydrogen,scenario1,scenario,Representative,hydrogen,187126.72,43057337.28
geo_generic,10,10,4595606.223999999,193801980.6,49971.6,223197.8,0,0,0,2500000,subscribers_baseline,launch_event,unknown_hydrocarbon,scenario1,scenario,Representative,hydrocarbon,306373.7482666666,12920132.04
geo_generic,9,9,4210351.2,968790088.8000001,780557.4,1899752.4000000001,0,0,0,2500000,subscribers_baseline,launch_event,unknown_hydrogen,scenario1,scenario,Representative,hydrogen,280690.08,64586005.92
starlink,4425,192,89820825.6,20667521894.4,16651891.200000001,40528051.2,0,0,0,3500000,subscribers_baseline,launch_event,unknown_hyg,scenario2,scenario,Representative,hydrocarbon,17964165.119999997,4133504378.88
oneweb,648,18,8420702.4,1937580177.6000001,1561114.8,3799504.8000000003,0,0,0,800000,subscribers_baseline,launch_event,unknown_hyg,scenario2,scenario,Representative,hydrocarbon,1684140.48,387516035.52000004
kuiper,3236,90,42103512.0,9687900888.0,7805574.000000001,18997524.0,0,0,0,2500000,subscribers_baseline,launch_event,unknown_hyg,scenario2,scenario,Representative,hydrocarbon,8420702.4,1937580177.6
geo_generic,19,19,8888519.2,2045223520.8,1647843.4000000001,4010588.4,0,0,0,2500000,subscribers_baseline,launch_event,unknown_hyg,scenario2,scenario,Representative,hydrocarbon,592567.9466666667,136348234.72
starlink,4425,192,88235639.5008,3720998027.5199995,959454.72,4285397.76,0,0,0,3500000,subscribers_baseline,launch_event,unknown_hyc,scenario3,scenario,Representative,hydrogen,17647127.90016,744199605.504
oneweb,648,18,8272091.203199999,348843565.08,89948.88,401756.04,0,0,0,800000,subscribers_baseline,launch_event,unknown_hyc,scenario3,scenario,Representative,hydrogen,1654418.24064,69768713.016
kuiper,3236,90,41360456.016,1744217825.3999999,449744.39999999997,2008780.2,0,0,0,2500000,subscribers_baseline,launch_event,unknown_hyc,scenario3,scenario,Representative,hydrogen,8272091.2032,348843565.08
geo_generic,19,19,8731651.8256,368223763.14,94946.04,424075.81999999995,0,0,0,2500000,subscribers_baseline,launch_event,unknown_hyc,scenario3,scenario,Representative,hydrogen,582110.1217066667,24548250.876
starlink,4425,127,522418806.189,522418806.189,35.239771278,35.239771278,226483.813986,2572207408.28,192.44412362,3500000,subscribers_baseline,launcher_production,falcon9,scenario1,Historical,Modeled,hydrocarbon,104483761.2378,104483761.2378
oneweb,394,14,625525781.7199999,625525781.7199999,43.56544822,43.56544822,174627.72040000002,3929855027.0,267.9057766,800000,subscribers_baseline,launcher_production,soyuz,scenario1,Historical,Modeled,hydrocarbon,125105156.34399998,125105156.34399998
oneweb,180,5,20567669.535,20567669.535,1.38739257,1.38739257,8916.68559,101268008.2,7.5765403,800000,subscribers_baseline,launcher_production,falcon9,scenario1,Historical,Modeled,hydrocarbon,4113533.907,4113533.907
oneweb,72,2,22037510.96,22037510.96,1.491470102,1.491470102,5439.451374,139470074.96,9.170770758,800000,subscribers_baseline,launcher_production,lvm3_hydrogen,scenario1,Historical,Representative,hydrogen,4407502.192,4407502.192
kuiper,648,18,198337598.64000002,198337598.64000002,13.423230918000002,13.423230918000002,48955.062366,1255230674.64,82.536936822,2500000,subscribers_baseline,launcher_production,ariane_6_hydrogen,scenario1,scenario,Representative,hydrogen,39667519.728,39667519.728
kuiper,972,27,658718282.88,658718282.88,45.755499294,45.755499294,192466.06722,1882846011.96,278.79437196,2500000,subscribers_baseline,launcher_production,glenn_hydrocarbon,scenario1,scenario,Representative,hydrocarbon,131743656.576,131743656.576
kuiper,1368,38,927084990.72,927084990.72,64.396628636,64.396628636,270878.16868,2649931424.2400002,392.37726424,2500000,subscribers_baseline,launcher_production,vulcan_hydrocarbon,scenario1,scenario,Representative,hydrocarbon,185416998.144,185416998.144
kuiper,108,3,12340601.721,12340601.721,0.832435542,0.832435542,5350.011354,60760804.92,4.54592418,2500000,subscribers_baseline,launcher_production,falcon9,scenario1,scenario,Representative,hydrocarbon,2468120.3442,2468120.3442
kuiper,72,2,48793946.88,48793946.88,3.389296244,3.389296244,14256.74572,139470074.96,20.65143496,2500000,subscribers_baseline,launcher_production,unknown_hydrocarbon,scenario1,scenario,Representative,hydrocarbon,9758789.376,9758789.376
kuiper,72,2,22037510.96,22037510.96,1.491470102,1.491470102,5439.451374,139470074.96,9.170770758,2500000,subscribers_baseline,launcher_production,unknown_hydrogen,scenario1,scenario,Representative,hydrogen,4407502.192,4407502.192
geo_generic,10,10,243969734.4,243969734.4,16.94648122,16.94648122,71283.7286,697350374.8000001,103.2571748,2500000,subscribers_baseline,launcher_production,unknown_hydrocarbon,scenario1,scenario,Representative,hydrocarbon,16264648.96,16264648.96
geo_generic,9,9,99168799.32000001,99168799.32000001,6.711615459000001,6.711615459000001,24477.531183,627615337.32,41.268468411,2500000,subscribers_baseline,launcher_production,unknown_hydrogen,scenario1,scenario,Representative,hydrogen,6611253.288000001,6611253.288000001
starlink,4425,192,2115601052.16,2115601052.16,143.181129792,143.181129792,522187.331904,13389127196.16,880.393992768,3500000,subscribers_baseline,launcher_production,unknown_hyg,scenario2,scenario,Representative,hydrocarbon,423120210.43200004,423120210.43200004
oneweb,648,18,198337598.64000002,198337598.64000002,13.423230918000002,13.423230918000002,48955.062366,1255230674.64,82.536936822,800000,subscribers_baseline,launcher_production,unknown_hyg,scenario2,scenario,Representative,hydrocarbon,39667519.728,39667519.728
kuiper,3236,90,991687993.2,991687993.2,67.11615459000001,67.11615459000001,244775.31183000002,6276153373.200001,412.68468411,2500000,subscribers_baseline,launcher_production,unknown_hyg,scenario2,scenario,Representative,hydrocarbon,198337598.64000002,198337598.64000002
geo_generic,19,19,209356354.12,209356354.12,14.168965969,14.168965969,51674.788053000004,1324965712.1200001,87.122322201,2500000,subscribers_baseline,launcher_production,unknown_hyg,scenario2,scenario,Representative,hydrocarbon,13957090.274666667,13957090.274666667
starlink,4425,192,4684218900.4800005,4684218900.4800005,325.372439424,325.372439424,1368647.5891200001,13389127196.16,1982.5377561599998,3500000,subscribers_baseline,launcher_production,unknown_hyc,scenario3,scenario,Representative,hydrogen,936843780.0960001,936843780.0960001
oneweb,648,18,439145521.92,439145521.92,30.503666196,30.503666196,128310.71148000001,1255230674.64,185.86291463999999,800000,subscribers_baseline,launcher_production,unknown_hyc,scenario3,scenario,Representative,hydrogen,87829104.384,87829104.384
kuiper,3236,90,2195727609.6,2195727609.6,152.51833098,152.51833098,641553.5574,6276153373.200001,929.3145731999999,2500000,subscribers_baseline,launcher_production,unknown_hyc,scenario3,scenario,Representative,hydrogen,439145521.91999996,439145521.91999996
geo_generic,19,19,463542495.36,463542495.36,32.198314318,32.198314318,135439.08434,1324965712.1200001,196.18863212,2500000,subscribers_baseline,launcher_production,unknown_hyc,scenario3,scenario,Representative,hydrogen,30902833.024,30902833.024
starlink,4425,127,205265471.739,205265471.739,19.885062592,19.885062592,1988.1423724499998,978039064.111,61.751737177,3500000,subscribers_baseline,launcher_ait,falcon9,scenario1,Historical,Modeled,hydrocarbon,41053094.3478,41053094.3478
oneweb,394,14,22627689.798,22627689.798,2.192054144,2.192054144,219.16530089999998,107815329.902,6.807278114,800000,subscribers_baseline,launcher_ait,soyuz,scenario1,Historical,Modeled,hydrocarbon,4525537.9596,4525537.9596
oneweb,180,5,8081317.785,8081317.785,0.78287648,0.78287648,78.27332175,38505474.964999996,2.431170755,800000,subscribers_baseline,launcher_ait,falcon9,scenario1,Historical,Modeled,hydrocarbon,1616263.557,1616263.557
oneweb,72,2,3232527.114,3232527.114,0.313150592,0.313150592,31.3093287,15402189.986,0.972468302,800000,subscribers_baseline,launcher_ait,lvm3_hydrogen,scenario1,Historical,Representative,hydrogen,646505.4228000001,646505.4228000001
kuiper,648,18,29092744.026,29092744.026,2.818355328,2.818355328,281.7839583,138619709.87399998,8.752214718,2500000,subscribers_baseline,launcher_ait,ariane_6_hydrogen,scenario1,scenario,Representative,hydrogen,5818548.8052,5818548.8052
kuiper,972,27,43639116.039000005,43639116.039000005,4.227532992,4.227532992,422.67593745,207929564.811,13.128322077,2500000,subscribers_baseline,launcher_ait,glenn_hydrocarbon,scenario1,scenario,Representative,hydrocarbon,8727823.2078,8727823.2078
kuiper,1368,38,61418015.166,61418015.166,5.949861248,5.949861248,594.8772452999999,292641609.73399997,18.476897738,2500000,subscribers_baseline,launcher_ait,vulcan_hydrocarbon,scenario1,scenario,Representative,hydrocarbon,12283603.0332,12283603.0332
kuiper,108,3,4848790.671,4848790.671,0.46972588800000004,0.46972588800000004,46.96399305,23103284.979,1.458702453,2500000,subscribers_baseline,launcher_ait,falcon9,scenario1,scenario,Representative,hydrocarbon,969758.1342,969758.1342
kuiper,72,2,3232527.114,3232527.114,0.313150592,0.313150592,31.3093287,15402189.986,0.972468302,2500000,subscribers_baseline,launcher_ait,unknown_hydrocarbon,scenario1,scenario,Representative,hydrocarbon,646505.4228000001,646505.4228000001
kuiper,72,2,3232527.114,3232527.114,0.313150592,0.313150592,31.3093287,15402189.986,0.972468302,2500000,subscribers_baseline,launcher_ait,unknown_hydrogen,scenario1,scenario,Representative,hydrogen,646505.4228000001,646505.4228000001
geo_generic,10,10,16162635.57,16162635.57,1.56575296,1.56575296,156.5466435,77010949.92999999,4.86234151,2500000,subscribers_baseline,launcher_ait,unknown_hydrocarbon,scenario1,scenario,Representative,hydrocarbon,1077509.038,1077509.038
geo_generic,9,9,14546372.013,14546372.013,1.409177664,1.409177664,140.89197915,69309854.93699999,4.376107359,2500000,subscribers_baseline,launcher_ait,unknown_hydrogen,scenario1,scenario,Representative,hydrogen,969758.1342,969758.1342
starlink,4425,192,310322602.944,310322602.944,30.062456832000002,30.062456832000002,3005.6955552,1478610238.656,93.356956992,3500000,subscribers_baseline,launcher_ait,unknown_hyg,scenario2,scenario,Representative,hydrocarbon,62064520.5888,62064520.5888
oneweb,648,18,29092744.026,29092744.026,2.818355328,2.818355328,281.7839583,138619709.87399998,8.752214718,800000,subscribers_baseline,launcher_ait,unknown_hyg,scenario2,scenario,Representative,hydrocarbon,5818548.8052,5818548.8052
kuiper,3236,90,145463720.13,145463720.13,14.09177664,14.09177664,1408.9197915,693098549.37,43.76107359,2500000,subscribers_baseline,launcher_ait,unknown_hyg,scenario2,scenario,Representative,hydrocarbon,29092744.026,29092744.026
geo_generic,19,19,30709007.583,30709007.583,2.974930624,2.974930624,297.43862264999996,146320804.86699998,9.238448869,2500000,subscribers_baseline,launcher_ait,unknown_hyg,scenario2,scenario,Representative,hydrocarbon,2047267.1722000001,2047267.1722000001
starlink,4425,192,310322602.944,310322602.944,30.062456832000002,30.062456832000002,3005.6955552,1478610238.656,93.356956992,3500000,subscribers_baseline,launcher_ait,unknown_hyc,scenario3,scenario,Representative,hydrogen,62064520.5888,62064520.5888
oneweb,648,18,29092744.026,29092744.026,2.818355328,2.818355328,281.7839583,138619709.87399998,8.752214718,800000,subscribers_baseline,launcher_ait,unknown_hyc,scenario3,scenario,Representative,hydrogen,5818548.8052,5818548.8052
kuiper,3236,90,145463720.13,145463720.13,14.09177664,14.09177664,1408.9197915,693098549.37,43.76107359,2500000,subscribers_baseline,launcher_ait,unknown_hyc,scenario3,scenario,Representative,hydrogen,29092744.026,29092744.026
geo_generic,19,19,30709007.583,30709007.583,2.974930624,2.974930624,297.43862264999996,146320804.86699998,9.238448869,2500000,subscribers_baseline,launcher_ait,unknown_hyc,scenario3,scenario,Representative,hydrogen,2047267.1722000001,2047267.1722000001
starlink,4425,127,602583674.053,602583674.053,69.453080931,69.453080931,4181.68225892,1942204802.3999999,175.098451428,3500000,subscribers_baseline,propellant_production,falcon9,scenario1,Historical,Modeled,hydrocarbon,120516734.8106,120516734.8106
oneweb,394,14,13564742.7916,13564742.7916,1.539983522,1.539983522,94.02750686,43596603.372,3.93973664,800000,subscribers_baseline,propellant_production,soyuz,scenario1,Historical,Modeled,hydrocarbon,2712948.55832,2712948.55832
oneweb,180,5,23723766.695,23723766.695,2.7343732650000003,2.7343732650000003,164.63315980000002,76464756.0,6.893639820000001,800000,subscribers_baseline,propellant_production,falcon9,scenario1,Historical,Modeled,hydrocarbon,4744753.339,4744753.339
oneweb,72,2,9586534.96,9586534.96,0.446585498,0.446585498,69.19285622,34248196.68,3.040507588,800000,subscribers_baseline,propellant_production,lvm3_hydrogen,scenario1,Historical,Representative,hydrogen,1917306.992,1917306.992
kuiper,648,18,86278814.64000002,86278814.64000002,4.019269482,4.019269482,622.7357059799999,308233770.12,27.364568292,2500000,subscribers_baseline,propellant_production,ariane_6_hydrogen,scenario1,scenario,Representative,hydrogen,17255762.928000003,17255762.928000003
kuiper,972,27,77134457.763,77134457.763,8.867791926,8.867791926,535.17891321,462350655.18,22.411859273999998,2500000,subscribers_baseline,propellant_production,glenn_hydrocarbon,scenario1,scenario,Representative,hydrocarbon,15426891.5526,15426891.5526
kuiper,1368,38,108559607.22199999,108559607.22199999,12.480596044,12.480596044,753.2147667400001,650715736.92,31.542616755999997,2500000,subscribers_baseline,propellant_production,vulcan_hydrocarbon,scenario1,scenario,Representative,hydrocarbon,21711921.444399998,21711921.444399998
kuiper,108,3,14234260.016999999,14234260.016999999,1.640623959,1.640623959,98.77989588,45878853.599999994,4.136183892,2500000,subscribers_baseline,propellant_production,falcon9,scenario1,scenario,Representative,hydrocarbon,2846852.0034,2846852.0034
kuiper,72,2,5713663.538,5713663.538,0.656873476,0.656873476,39.64288246,34248196.68,1.660137724,2500000,subscribers_baseline,propellant_production,unknown_hydrocarbon,scenario1,scenario,Representative,hydrocarbon,1142732.7075999998,1142732.7075999998
kuiper,72,2,9586534.96,9586534.96,0.446585498,0.446585498,69.19285622,34248196.68,3.040507588,2500000,subscribers_baseline,propellant_production,unknown_hydrogen,scenario1,scenario,Representative,hydrogen,1917306.992,1917306.992
geo_generic,10,10,28568317.689999998,28568317.689999998,3.28436738,3.28436738,198.21441230000002,171240983.4,8.300688619999999,2500000,subscribers_baseline,propellant_production,unknown_hydrocarbon,scenario1,scenario,Representative,hydrocarbon,1904554.5126666664,1904554.5126666664
geo_generic,9,9,43139407.32000001,43139407.32000001,2.009634741,2.009634741,311.36785298999996,154116885.06,13.682284146,2500000,subscribers_baseline,propellant_production,unknown_hydrogen,scenario1,scenario,Representative,hydrogen,2875960.4880000004,2875960.4880000004
starlink,4425,192,920307356.1600001,920307356.1600001,42.872207808,42.872207808,6642.514197119999,3287826881.2799997,291.888728448,3500000,subscribers_baseline,propellant_production,unknown_hyg,scenario2,scenario,Representative,hydrocarbon,184061471.23200002,184061471.23200002
oneweb,648,18,86278814.64000002,86278814.64000002,4.019269482,4.019269482,622.7357059799999,308233770.12,27.364568292,800000,subscribers_baseline,propellant_production,unknown_hyg,scenario2,scenario,Representative,hydrocarbon,17255762.928000003,17255762.928000003
kuiper,3236,90,431394073.20000005,431394073.20000005,20.09634741,20.09634741,3113.6785299,1541168850.6,136.82284146,2500000,subscribers_baseline,propellant_production,unknown_hyg,scenario2,scenario,Representative,hydrocarbon,86278814.64000002,86278814.64000002
geo_generic,19,19,91072082.12,91072082.12,4.242562231,4.242562231,657.33213409,325357868.46,28.884822086,2500000,subscribers_baseline,propellant_production,unknown_hyg,scenario2,scenario,Representative,hydrocarbon,6071472.141333333,6071472.141333333
starlink,4425,192,548511699.648,548511699.648,63.059853696000005,63.059853696000005,3805.71671616,3287826881.2799997,159.37322150399999,3500000,subscribers_baseline,propellant_production,unknown_hyc,scenario3,scenario,Representative,hydrogen,109702339.9296,109702339.9296
oneweb,648,18,51422971.842,51422971.842,5.911861284,5.911861284,356.78594214000003,308233770.12,14.941239516,800000,subscribers_baseline,propellant_production,unknown_hyc,scenario3,scenario,Representative,hydrogen,10284594.3684,10284594.3684
kuiper,3236,90,257114859.20999998,257114859.20999998,29.559306420000002,29.559306420000002,1783.9297107000002,1541168850.6,74.70619758,2500000,subscribers_baseline,propellant_production,unknown_hyc,scenario3,scenario,Representative,hydrogen,51422971.84199999,51422971.84199999
geo_generic,19,19,54279803.610999994,54279803.610999994,6.240298022,6.240298022,376.60738337000004,325357868.46,15.771308377999999,2500000,subscribers_baseline,propellant_production,unknown_hyc,scenario3,scenario,Representative,hydrogen,3618653.5740666664,3618653.5740666664
starlink,4425,127,710563846.459,710563846.459,63.426722905000005,63.426722905000005,35275.1345677,4692524738.63,308.854726968,3500000,subscribers_baseline,propellant_scheduling,falcon9,scenario1,Historical,Modeled,hydrocarbon,142112769.2918,142112769.2918
oneweb,394,14,45126626.762,45126626.762,4.029880414,4.029880414,2236.8597720000002,297776364.76,19.593739746,800000,subscribers_baseline,propellant_scheduling,soyuz,scenario1,Historical,Modeled,hydrocarbon,9025325.352400001,9025325.352400001
