constellation,number_of_satellites,total_area_earth_km_sq,coverage_area_per_sat_sqkm,altitude_km,dl_frequency_Hz,dl_bandwidth_Hz,speed_of_light,antenna_diameter_m,antenna_efficiency,power_dBw,receiver_gain_dB,earth_atmospheric_losses_dB,all_other_losses_dB,number_of_channels,polarization,subscriber_scenario,subscribers,distance,satellite_coverage_area_km,path_loss,losses,antenna_gain,eirp,noise,received_power,cnr,spectral_efficiency,channel_capacity,constellation_capacity,capacity_per_single_satellite,capacity_per_area_mbps/sqkm
Starlink,4425,510000000,115254.2373,550,13500000000,500000000,300000000,0.6,0.6,30,35,10,0.53,8,2,low,2500000,575.5984358,115254.2373,170.2590675,10.53,36.35178524,66.35178524,-89.99782907,-79.43728223,10.56054684,2.745734,1372.867,48599491.8,21965.872,421.6720612
Starlink,4425,510000000,115254.2373,550,13500000000,500000000,300000000,0.6,0.6,30,35,10,0.53,8,2,baseline,3500000,575.5984358,115254.2373,170.2590675,10.53,36.35178524,66.35178524,-89.99782907,-79.43728223,10.56054684,2.745734,1372.867,48599491.8,21965.872,421.6720612
Starlink,4425,510000000,115254.2373,550,13500000000,500000000,300000000,0.6,0.6,30,35,10,0.53,8,2,high,4500000,575.5984358,115254.2373,170.2590675,10.53,36.35178524,66.35178524,-89.99782907,-79.43728223,10.56054684,2.745734,1372.867,48599491.8,21965.872,421.6720612
Starlink,4425,510000000,115254.2373,550,13500000000,500000000,300000000,0.6,0.6,30,35,13,0.53,8,2,low,2500000,575.5984358,115254.2373,170.2590675,13.53,36.35178524,66.35178524,-89.99782907,-82.43728223,7.56054684,2.193247,1096.6235,38820471.9,17545.976,336.8246826
Starlink,4425,510000000,115254.2373,550,13500000000,500000000,300000000,0.6,0.6,30,35,13,0.53,8,2,baseline,3500000,575.5984358,115254.2373,170.2590675,13.53,36.35178524,66.35178524,-89.99782907,-82.43728223,7.56054684,2.193247,1096.6235,38820471.9,17545.976,336.8246826
Starlink,4425,510000000,115254.2373,550,13500000000,500000000,300000000,0.6,0.6,30,35,13,0.53,8,2,high,4500000,575.5984358,115254.2373,170.2590675,13.53,36.35178524,66.35178524,-89.99782907,-82.43728223,7.56054684,2.193247,1096.6235,38820471.9,17545.976,336.8246826
OneWeb,720,510000000,708333.3333,1190,13500000000,250000000,300000000,0.65,0.6,30,25,7,0.53,8,2,low,500000,1262.213664,708333.3333,177.0793329,7.53,37.04702737,67.04702737,-89.99782907,-92.56230555,-2.564476479,1.647211,411.80275,2371983.84,6588.844,3.348683068
OneWeb,720,510000000,708333.3333,1190,13500000000,250000000,300000000,0.65,0.6,30,25,7,0.53,8,2,baseline,800000,1262.213664,708333.3333,177.0793329,7.53,37.04702737,67.04702737,-89.99782907,-92.56230555,-2.564476479,1.647211,411.80275,2371983.84,6588.844,3.348683068
OneWeb,720,510000000,708333.3333,1190,13500000000,250000000,300000000,0.65,0.6,30,25,7,0.53,8,2,high,1000000,1262.213664,708333.3333,177.0793329,7.53,37.04702737,67.04702737,-89.99782907,-92.56230555,-2.564476479,1.647211,411.80275,2371983.84,6588.844,3.348683068
OneWeb,720,510000000,708333.3333,1190,13500000000,250000000,300000000,0.65,0.6,30,25,10,0.53,8,2,low,500000,1262.213664,708333.3333,177.0793329,10.53,37.04702737,67.04702737,-89.99782907,-95.56230555,-5.564476479,1.647211,411.80275,2371983.84,6588.844,3.348683068
