constellation,number_of_satellites,distance,satellite_coverage_area,iteration,path_loss,random_variation,antenna_gain,eirp,received_power,noise,cnr,spectral_efficiency,channel_capacity,aggregate_capacity,capacity_kmsq,capacity_per_single_satellite
starlink,60,1556.285642162132,8500000.0,0,179.08229411264014,0.1938325268166163,36.35178524089886,66.35178524089886,-93.26050887174128,-89.99782907027767,-3.262679801463605,1.647211,823.6055,13177.688,0.0015503162352941177,13177.688
starlink,60,1556.285642162132,8500000.0,1,180.23793633893797,1.3494747531144287,36.35178524089886,66.35178524089886,-94.41615109803911,-89.99782907027767,-4.418322027761434,1.647211,823.6055,13177.688,0.0015503162352941177,13177.688
starlink,60,1556.285642162132,8500000.0,2,181.36091555619237,2.4724539703688193,36.35178524089886,66.35178524089886,-95.5391303152935,-89.99782907027767,-5.5413012450158305,1.647211,823.6055,13177.688,0.0015503162352941177,13177.688
starlink,60,1556.285642162132,8500000.0,3,179.2506083679542,0.3621467821306555,36.35178524089886,66.35178524089886,-93.42882312705532,-89.99782907027767,-3.4309940567776493,1.647211,823.6055,13177.688,0.0015503162352941177,13177.688
starlink,60,1556.285642162132,8500000.0,4,179.3741535662901,0.48569198046654866,36.35178524089886,66.35178524089886,-93.55236832539123,-89.99782907027767,-3.5545392551135535,1.647211,823.6055,13177.688,0.0015503162352941177,13177.688
starlink,60,1556.285642162132,8500000.0,5,178.98576431718925,0.09730273136572395,36.35178524089886,66.35178524089886,-93.16397907629039,-89.99782907027767,-3.166150006012714,1.647211,823.6055,13177.688,0.0015503162352941177,13177.688
starlink,60,1556.285642162132,8500000.0,6,179.37064516694127,0.48218358111775084,36.35178524089886,66.35178524089886,-93.54885992604241,-89.99782907027767,-3.5510308557647363,1.647211,823.6055,13177.688,0.0015503162352941177,13177.688
starlink,60,1556.285642162132,8500000.0,7,180.93941585223078,2.0509542664072433,36.35178524089886,66.35178524089886,-95.11763061133192,-89.99782907027767,-5.119801541054244,1.647211,823.6055,13177.688,0.0015503162352941177,13177.688
starlink,60,1556.285642162132,8500000.0,8,179.2043768579394,0.315915272115848,36.35178524089886,66.35178524089886,-93.38259161704053,-89.99782907027767,-3.3847625467628575,1.647211,823.6055,13177.688,0.0015503162352941177,13177.688
starlink,60,1556.285642162132,8500000.0,9,179.373848947086,0.485387361262456,36.35178524089886,66.35178524089886,-93.55206370618714,-89.99782907027767,-3.5542346359094665,1.647211,823.6055,13177.688,0.0015503162352941177,13177.688
starlink,60,1556.285642162132,8500000.0,10,180.3969336464934,1.5084720606698716,36.35178524089886,66.35178524089886,-94.57514840559455,-89.99782907027767,-4.577319335316872,1.647211,823.6055,13177.688,0.0015503162352941177,13177.688
starlink,60,1556.285642162132,8500000.0,11,186.5043538005304,7.6158922147068715,36.35178524089886,66.35178524089886,-100.68256855963153,-89.99782907027767,-10.68473948935386,1.647211,823.6055,13177.688,0.0015503162352941177,13177.688
starlink,60,1556.285642162132,8500000.0,12,179.2730839519562,0.38462236613267897,36.35178524089886,66.35178524089886,-93.45129871105735,-89.99782907027767,-3.453469640779673,1.647211,823.6055,13177.688,0.0015503162352941177,13177.688
starlink,60,1556.285642162132,8500000.0,13,180.39792778076136,1.5094661949378427,36.35178524089886,66.35178524089886,-94.5761425398625,-89.99782907027767,-4.5783134695848275,1.647211,823.6055,13177.688,0.0015503162352941177,13177.688
starlink,60,1556.285642162132,8500000.0,14,181.09788574308865,2.2094241572651154,36.35178524089886,66.35178524089886,-95.27610050218979,-89.99782907027767,-5.278271431912117,1.647211,823.6055,13177.688,0.0015503162352941177,13177.688
starlink,60,1556.285642162132,8500000.0,15,179.44133386561052,0.5528722797869708,36.35178524089886,66.35178524089886,-93.61954862471165,-89.99782907027767,-3.62171955443398,1.647211,823.6055,13177.688,0.0015503162352941177,13177.688
starlink,60,1556.285642162132,8500000.0,16,180.83141543246833,1.942953846644798,36.35178524089886,66.35178524089886,-95.00963019156947,-89.99782907027767,-5.011801121291796,1.647211,823.6055,13177.688,0.0015503162352941177,13177.688
starlink,60,1556.285642162132,8500000.0,17,181.07786806816137,2.1894064823378305,36.35178524089886,66.35178524089886,-95.2560828272625,-89.99782907027767,-5.258253756984828,1.647211,823.6055,13177.688,0.0015503162352941177,13177.688
starlink,60,1556.285642162132,8500000.0,18,180.39887529726366,1.5104137114401255,36.35178524089886,66.35178524089886,-94.5770900563648,-89.99782907027767,-4.579260986087121,1.647211,823.6055,13177.688,0.0015503162352941177,13177.688
starlink,60,1556.285642162132,8500000.0,19,178.95953300682893,0.07107142100540238,36.35178524089886,66.35178524089886,-93.13774776593007,-89.99782907027767,-3.1399186956523977,1.647211,823.6055,13177.688,0.0015503162352941177,13177.688
starlink,60,1556.285642162132,8500000.0,20,180.7408694632395,1.8524078774159791,36.35178524089886,66.35178524089886,-94.91908422234064,-89.99782907027767,-4.921255152062969,1.647211,823.6055,13177.688,0.0015503162352941177,13177.688
starlink,60,1556.285642162132,8500000.0,21,180.8790816780665,1.9906200922429695,36.35178524089886,66.35178524089886,-95.05729643716765,-89.99782907027767,-5.059467366889976,1.647211,823.6055,13177.688,0.0015503162352941177,13177.688
starlink,60,1556.285642162132,8500000.0,22,179.80737172771438,0.918910141890837,36.35178524089886,66.35178524089886,-93.98558648681552,-89.99782907027767,-3.987757416537846,1.647211,823.6055,13177.688,0.0015503162352941177,13177.688
starlink,60,1556.285642162132,8500000.0,23,179.576875452509,0.6884138666854746,36.35178524089886,66.35178524089886,-93.75509021161014,-89.99782907027767,-3.7572611413324637,1.647211,823.6055,13177.688,0.0015503162352941177,13177.688
